what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_IN",1738505892893
processors,sysinfo,,,"12",1738505892893
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1738505892893
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1738505892893
java.specification.name,sysinfo,,,"Java Platform API Specification",1738505892893
java.specification.vendor,sysinfo,,,"Oracle Corporation",1738505892893
java.specification.version,sysinfo,,,"1.8",1738505892893
java.vendor,sysinfo,,,"Oracle Corporation",1738505892893
java.version,sysinfo,,,"1.8.0_191",1738505892893
java.vm.info,sysinfo,,,"mixed mode",1738505892893
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1738505892893
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1738505892893
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1738505892893
java.vm.specification.version,sysinfo,,,"1.8",1738505892893
java.vm.vendor,sysinfo,,,"Oracle Corporation",1738505892893
java.vm.version,sysinfo,,,"25.191-b12",1738505892893
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738505902029
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738505915642
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738505917575
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738505929761
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738505929793
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1738505933315
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1738505933543
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1738505933565
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738505935925
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738505944042
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1738505958935
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1738505958948
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738505959136
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738505973873
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738505975117
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738505979376
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738505990548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738505992446
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738505994941
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506002950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506007417
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738506009127
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506009763
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738506010551
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506026452
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506036795
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738506039304
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506059629
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506061943
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506091777
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738506094703
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506103584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506127890
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738506131234
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506154150
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1738506156375
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738506159072
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506160918
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738506163642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506205673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506210073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506210852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506236930
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506242123
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506244281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506244590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506262798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506287236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506288217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506294900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506298616
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738506300265
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506304445
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506304460
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506305490
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506306550
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738506307800
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506312623
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506312642
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1738506313149
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1738506313171
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738506314656
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506320296
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506320324
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738506320373
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506326825
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506328260
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506328260
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506328761
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506333165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506335710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506348231
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738506352547
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506360703
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506360720
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506368905
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506368905
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738506371028
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506371202
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738506371228
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506376898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506386019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506391012
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1738506391197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506392261
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506399074
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506400167
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1738506419863
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738506422028
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738506436934
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506488526
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738506497310
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738506498608
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738506499688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738506502490
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506511850
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506525591
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1738506539971
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1738506539998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738506541047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506543344
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506562332
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506563080
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506566422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506568427
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506572256
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506581603
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506585594
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506586464
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738506613846
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1738506627935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506642182
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506644060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506645048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506659350
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506663082
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506664009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506667661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506682959
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506685075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738506693762
